date,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,connector_key,connector_label,operator_name,nominal_capacity_mw,source_provider,source_key,source_label,target_is_proxy,operator_fetch_ok,operator_source_gap_reason,operator_event_count,operator_active_flag,operator_partial_availability_flag,operator_availability_state,operator_capacity_evidence_tier,operator_capacity_limit_mw,operator_min_available_capacity_mw,operator_max_unavailable_capacity_mw,operator_normal_capacity_mw,latest_operator_publish_time_utc
2024-10-02,2024-10-02 00:00:00+01:00,2024-10-02 01:00:00+01:00,2024-10-01 23:00:00+00:00,2024-10-02 00:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 00:00:00+01:00,2024-10-02 01:00:00+01:00,2024-10-01 23:00:00+00:00,2024-10-02 00:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 01:00:00+01:00,2024-10-02 02:00:00+01:00,2024-10-02 00:00:00+00:00,2024-10-02 01:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 01:00:00+01:00,2024-10-02 02:00:00+01:00,2024-10-02 00:00:00+00:00,2024-10-02 01:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 01:00:00+01:00,2024-10-02 02:00:00+01:00,2024-10-02 00:00:00+00:00,2024-10-02 01:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 02:00:00+01:00,2024-10-02 03:00:00+01:00,2024-10-02 01:00:00+00:00,2024-10-02 02:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 02:00:00+01:00,2024-10-02 03:00:00+01:00,2024-10-02 01:00:00+00:00,2024-10-02 02:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 02:00:00+01:00,2024-10-02 03:00:00+01:00,2024-10-02 01:00:00+00:00,2024-10-02 02:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 03:00:00+01:00,2024-10-02 04:00:00+01:00,2024-10-02 02:00:00+00:00,2024-10-02 03:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 03:00:00+01:00,2024-10-02 04:00:00+01:00,2024-10-02 02:00:00+00:00,2024-10-02 03:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 03:00:00+01:00,2024-10-02 04:00:00+01:00,2024-10-02 02:00:00+00:00,2024-10-02 03:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 04:00:00+01:00,2024-10-02 05:00:00+01:00,2024-10-02 03:00:00+00:00,2024-10-02 04:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 04:00:00+01:00,2024-10-02 05:00:00+01:00,2024-10-02 03:00:00+00:00,2024-10-02 04:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 04:00:00+01:00,2024-10-02 05:00:00+01:00,2024-10-02 03:00:00+00:00,2024-10-02 04:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 05:00:00+01:00,2024-10-02 06:00:00+01:00,2024-10-02 04:00:00+00:00,2024-10-02 05:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 05:00:00+01:00,2024-10-02 06:00:00+01:00,2024-10-02 04:00:00+00:00,2024-10-02 05:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 05:00:00+01:00,2024-10-02 06:00:00+01:00,2024-10-02 04:00:00+00:00,2024-10-02 05:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 06:00:00+01:00,2024-10-02 07:00:00+01:00,2024-10-02 05:00:00+00:00,2024-10-02 06:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 06:00:00+01:00,2024-10-02 07:00:00+01:00,2024-10-02 05:00:00+00:00,2024-10-02 06:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 06:00:00+01:00,2024-10-02 07:00:00+01:00,2024-10-02 05:00:00+00:00,2024-10-02 06:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 07:00:00+01:00,2024-10-02 08:00:00+01:00,2024-10-02 06:00:00+00:00,2024-10-02 07:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 07:00:00+01:00,2024-10-02 08:00:00+01:00,2024-10-02 06:00:00+00:00,2024-10-02 07:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 07:00:00+01:00,2024-10-02 08:00:00+01:00,2024-10-02 06:00:00+00:00,2024-10-02 07:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 08:00:00+01:00,2024-10-02 09:00:00+01:00,2024-10-02 07:00:00+00:00,2024-10-02 08:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 08:00:00+01:00,2024-10-02 09:00:00+01:00,2024-10-02 07:00:00+00:00,2024-10-02 08:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 08:00:00+01:00,2024-10-02 09:00:00+01:00,2024-10-02 07:00:00+00:00,2024-10-02 08:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 09:00:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:00:00+00:00,2024-10-02 09:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 09:00:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:00:00+00:00,2024-10-02 09:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 09:00:00+01:00,2024-10-02 10:00:00+01:00,2024-10-02 08:00:00+00:00,2024-10-02 09:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 10:00:00+01:00,2024-10-02 11:00:00+01:00,2024-10-02 09:00:00+00:00,2024-10-02 10:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 10:00:00+01:00,2024-10-02 11:00:00+01:00,2024-10-02 09:00:00+00:00,2024-10-02 10:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 10:00:00+01:00,2024-10-02 11:00:00+01:00,2024-10-02 09:00:00+00:00,2024-10-02 10:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 11:00:00+01:00,2024-10-02 12:00:00+01:00,2024-10-02 10:00:00+00:00,2024-10-02 11:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 11:00:00+01:00,2024-10-02 12:00:00+01:00,2024-10-02 10:00:00+00:00,2024-10-02 11:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 11:00:00+01:00,2024-10-02 12:00:00+01:00,2024-10-02 10:00:00+00:00,2024-10-02 11:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 12:00:00+01:00,2024-10-02 13:00:00+01:00,2024-10-02 11:00:00+00:00,2024-10-02 12:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 12:00:00+01:00,2024-10-02 13:00:00+01:00,2024-10-02 11:00:00+00:00,2024-10-02 12:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 12:00:00+01:00,2024-10-02 13:00:00+01:00,2024-10-02 11:00:00+00:00,2024-10-02 12:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 13:00:00+01:00,2024-10-02 14:00:00+01:00,2024-10-02 12:00:00+00:00,2024-10-02 13:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 13:00:00+01:00,2024-10-02 14:00:00+01:00,2024-10-02 12:00:00+00:00,2024-10-02 13:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 13:00:00+01:00,2024-10-02 14:00:00+01:00,2024-10-02 12:00:00+00:00,2024-10-02 13:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 14:00:00+01:00,2024-10-02 15:00:00+01:00,2024-10-02 13:00:00+00:00,2024-10-02 14:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 14:00:00+01:00,2024-10-02 15:00:00+01:00,2024-10-02 13:00:00+00:00,2024-10-02 14:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 14:00:00+01:00,2024-10-02 15:00:00+01:00,2024-10-02 13:00:00+00:00,2024-10-02 14:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 15:00:00+01:00,2024-10-02 16:00:00+01:00,2024-10-02 14:00:00+00:00,2024-10-02 15:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 15:00:00+01:00,2024-10-02 16:00:00+01:00,2024-10-02 14:00:00+00:00,2024-10-02 15:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 15:00:00+01:00,2024-10-02 16:00:00+01:00,2024-10-02 14:00:00+00:00,2024-10-02 15:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 16:00:00+01:00,2024-10-02 17:00:00+01:00,2024-10-02 15:00:00+00:00,2024-10-02 16:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 16:00:00+01:00,2024-10-02 17:00:00+01:00,2024-10-02 15:00:00+00:00,2024-10-02 16:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 16:00:00+01:00,2024-10-02 17:00:00+01:00,2024-10-02 15:00:00+00:00,2024-10-02 16:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 17:00:00+01:00,2024-10-02 18:00:00+01:00,2024-10-02 16:00:00+00:00,2024-10-02 17:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 17:00:00+01:00,2024-10-02 18:00:00+01:00,2024-10-02 16:00:00+00:00,2024-10-02 17:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 17:00:00+01:00,2024-10-02 18:00:00+01:00,2024-10-02 16:00:00+00:00,2024-10-02 17:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 18:00:00+01:00,2024-10-02 19:00:00+01:00,2024-10-02 17:00:00+00:00,2024-10-02 18:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 18:00:00+01:00,2024-10-02 19:00:00+01:00,2024-10-02 17:00:00+00:00,2024-10-02 18:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 18:00:00+01:00,2024-10-02 19:00:00+01:00,2024-10-02 17:00:00+00:00,2024-10-02 18:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 19:00:00+01:00,2024-10-02 20:00:00+01:00,2024-10-02 18:00:00+00:00,2024-10-02 19:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 19:00:00+01:00,2024-10-02 20:00:00+01:00,2024-10-02 18:00:00+00:00,2024-10-02 19:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 19:00:00+01:00,2024-10-02 20:00:00+01:00,2024-10-02 18:00:00+00:00,2024-10-02 19:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 20:00:00+01:00,2024-10-02 21:00:00+01:00,2024-10-02 19:00:00+00:00,2024-10-02 20:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 20:00:00+01:00,2024-10-02 21:00:00+01:00,2024-10-02 19:00:00+00:00,2024-10-02 20:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 20:00:00+01:00,2024-10-02 21:00:00+01:00,2024-10-02 19:00:00+00:00,2024-10-02 20:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 21:00:00+01:00,2024-10-02 22:00:00+01:00,2024-10-02 20:00:00+00:00,2024-10-02 21:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 21:00:00+01:00,2024-10-02 22:00:00+01:00,2024-10-02 20:00:00+00:00,2024-10-02 21:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 21:00:00+01:00,2024-10-02 22:00:00+01:00,2024-10-02 20:00:00+00:00,2024-10-02 21:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 22:00:00+01:00,2024-10-02 23:00:00+01:00,2024-10-02 21:00:00+00:00,2024-10-02 22:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 22:00:00+01:00,2024-10-02 23:00:00+01:00,2024-10-02 21:00:00+00:00,2024-10-02 22:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 22:00:00+01:00,2024-10-02 23:00:00+01:00,2024-10-02 21:00:00+00:00,2024-10-02 22:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
2024-10-02,2024-10-02 23:00:00+01:00,2024-10-03 00:00:00+01:00,2024-10-02 22:00:00+00:00,2024-10-02 23:00:00+00:00,eleclink,ElecLink,ElecLink Limited / Getlink,1000.0,nordpool_umm_export,nordpool_umm_export,Nord Pool UMM export,False,False,nordpool_umm_export_not_provided,0,False,False,unknown_source,source_unavailable,,,,,
2024-10-02,2024-10-02 23:00:00+01:00,2024-10-03 00:00:00+01:00,2024-10-02 22:00:00+00:00,2024-10-02 23:00:00+00:00,ifa,IFA,National Grid Interconnectors / RTE,2000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,0,False,False,available,operator_no_active_outage,2000.0,,,,
2024-10-02,2024-10-02 23:00:00+01:00,2024-10-03 00:00:00+01:00,2024-10-02 22:00:00+00:00,2024-10-02 23:00:00+00:00,ifa2,IFA2,National Grid IFA2 Limited / RTE,1000.0,elexon_remit,elexon_remit_connector,Elexon REMIT transmission-unavailability messages,False,True,,2,True,True,partial_outage,operator_outage_truth,500.0,500.0,514.0,1014.0,2024-11-17 23:13:07+00:00
